tissueType,tissueType2,cellName,geneSymbolmore1,geneSymbolmore2,shortName
any,breast,Basal epithelial cell,"VIM,ACTA2,KRT14,KRT5,MYLK,TP63",,
any,breast,Basal progenitor cell,"CD24,CD44,ITGA6,EPCAM",,
any,breast,Cancer stem cell,"ALDH1A1,CD24,CD44,CD24,CD44,GLI1,ALDH1A1,CD24,CD44,NECTIN4,CD24,CD44,ALDH1A1,CD24,CD44,ITGA6,ITGB3,FLOT2,NA,CD24,CD44,ITGA6,EPCAM,GLI1,KDM1A,SOX2,PROM1,EPCAM,KIT,MME,PROM1,CD24,CD34,CD44,EPCAM,POU5F1,TP63,SOX2,ALDHfamily,CD44,CD44,NA,ALDH1A1,PROM1,FUT4,CD24,CD44,PROM1,PROM1,CD44,CD24,CD44,CD44,POU5F1,CD24,CD44,ALDH1A3,SOX2,ALDH1A1,CD24,CD44,ALDH1A1,CD44,CD44,ALDH1A1,CD24,CD44,ALDH1A1,CD24,CD44,ALDH1A1,PROM1,CD44,CD24,ALDH1A1,PROM1,PROM1,SOX2,ALDH1A1,ALDH1A1,ALDH1A1,CD24,CD44,LGR5,CD44,EPCAM,ALDH1A1,ALDH1A1,CD44,PROM1,CD44,SOX2,POU5F1,CD44,CD24,CD44,ALDH1A1,CD24,CD44,CD24,CD44,ALDH1A1,CD24,CD44,CD24,CD44,ALDH1A1,PROM1,CD24,CD44,ALDH1A1,CD44,ALDH1A1,CD24,CD44,CD44,CD24,CD44,VEGFA,ALDH1A1,PROM1,CD44,ALDHfamily,FLOT2,PROCR,PROM1,FLOT2,ALDH1A1,CD24,CD44,CD24,CD44,CD24,CD34,CD44,FLOT2,NANOG,NES,POU5F1,SOX2",,
any,breast,Epithelial cell,"FLOT2,MUCfamily,KIT,ALCAM,MUC1,KRT19,KRT8,TP63,SMN1,KRT18,CDH1,CDH1,CDH1,Cytokeratinfamily,MUC1,PIP",,
any,breast,Epithelial progenitor cell,"CD24,CD44",,
any,breast,Hematopoietic stem cell,"KIT,PROM1,CD34",,
any,breast,Immune cell,"ANPEP,CD14,CD209,PTPRC,CD83,CD86,HLA-DRfamily",,
any,breast,Luminal epithelial cell,"KRT18,MUC1,FLOT2,MUCfamily,KRT19,ANKRD30A,SYTL2",,
any,breast,Luminal progenitor,"CD24,CD44,ITGA6,EPCAM,KIT",,
any,breast,Luminal progenitor cell,"KRT19,PROM1,SLPI",,
