,entrez_id,AveExpr,logFC,lfcSE,stat,P.Value,adj.P.Val,GeneLength,MGI.symbol,Human.EntrezID,HGNC.symbol
1,258068,132897.225565086,-7.14116512818422,0.203532226423004,-35.0861642585418,1.0958386089411e-269,2.0988596877049e-265,945,Olfr804,283365,OR6C6
2,67443,3256.30654727632,-6.65278743775216,0.191411674342984,-34.7564351055792,1.10803894231015e-264,1.06111349310332e-260,1712,Map1lc3b,NA,NA
3,17857,1932.3165373243,-6.8615990455349,0.213929284167193,-32.0741457732001,1.01148652028436e-225,6.45766710766877e-222,2697,NA,NA,NA
4,20383,92678.413159961,7.81535906852446,0.244117596430936,32.0147305347386,6.80188339270914e-225,3.25691181551396e-221,3041,Srsf3,6428,SRSF3
5,104570,8049.47376103839,-6.22507818205621,0.194881941775128,-31.9428168939288,6.79759527774662e-224,2.60388684709362e-220,5108,Ppp4r3b,57223,PPP4R3B
6,67299,3765.78161116328,-6.02429253076966,0.190250183984174,-31.6651075158529,4.69830540602075e-220,1.49977739069192e-216,7043,Dock7,85440,DOCK7
7,320642,20739.5904884548,-6.55094343403687,0.212889086271296,-30.7716264312801,6.28248133630064e-208,1.71897664334523e-204,1253,,NA,NA
8,229603,2635.63414828436,-6.07703489853152,0.1994849145766,-30.4636313549314,7.90536573131384e-204,1.89264337314817e-200,8101,Otud7b,56957,OTUD7B
9,629747,4347.18865375807,-5.94987333130489,0.197350793396154,-30.1487175648763,1.11495851286523e-199,2.37275559965643e-196,554,Spint3,10816,SPINT3
10,258357,199959.481026284,-8.0427429103241,0.270152459032846,-29.7711260490368,9.24113369342112e-195,1.76995433630095e-191,1041,Olfr574,401665,OR51T1
11,11630,1746.17460659194,-5.59292924588696,0.190642267532986,-29.3372992162886,3.47019341914997e-189,6.04223768699812e-186,7416,Crybg1,202,CRYBG1
12,105440,11025.0714482657,-4.99104667973785,0.170655916633668,-29.2462563161621,5.01049431173412e-188,7.9971664627203e-185,3307,Kctd9,54793,KCTD9
13,69146,1936.10777495059,-5.66419624890174,0.193799586770706,-29.2270811475121,8.78290276050442e-188,1.29399181978416e-184,1776,Gsdmd,79792,GSDMD
14,18747,5908.71693489337,-5.37844317758812,0.184709975839952,-29.1183145530183,2.10511782152101e-186,2.87995154539943e-183,2293,Prkaca,5566,PRKACA
15,69860,1230.77186411491,-6.30487390604367,0.217058279842719,-29.0469173100063,1.68312831155367e-185,2.14913043674583e-182,2469,Eif1ad,84285,EIF1AD
16,51938,51121.9067309297,-7.2580456936922,0.251498239567387,-28.8592306100316,3.88086460138179e-183,4.64563748189159e-180,3616,Ccdc39,339829,CCDC39
17,435337,1854.67968830388,-6.30047591916958,0.225068502701398,-27.9935923665362,1.94447139144196e-172,2.19073297413458e-169,1842,Eif1ad7,9086,EIF1AY
18,20387,55843.9576822003,7.07398579514917,0.255503091650574,27.6864978402044,1.01529352577999e-168,1.08032871662579e-165,2775,NA,NA,NA
19,56552,2418.15421203547,-5.22156862364012,0.1898765559362,-27.4998069029366,1.76499394991702e-166,1.77920679593477e-163,2568,Vmn2r26,NA,NA
20,20378,21008.4441533034,6.68476242937259,0.243268780033739,27.4789162359654,3.13671576187428e-166,3.0038758493589e-163,2920,Frzb,2487,FRZB
21,257892,12555.7064187369,-5.83590020386697,0.214249028605967,-27.2388642405469,2.2517961444173e-163,2.0537453120964e-160,1122,Olfr324,NA,NA
22,406219,234941.49866189,-6.63831329496024,0.24441169725206,-27.1603747676373,1.90962106151871e-162,1.66249873596672e-159,1826,Krt87,NA,NA
23,11785,3171.5554103876,5.59129788338081,0.207508669840265,26.944888074724,6.54800616351758e-160,5.45278095868923e-157,3176,Apbb1,322,APBB1
24,70611,12244.4762281724,-6.82724457217293,0.253485091314678,-26.9335152484275,8.89915628471339e-160,7.10189751337982e-157,3446,Fbxo33,254170,FBXO33
25,107094,4995.86097129233,-6.28018418957144,0.233699043346227,-26.872956344401,4.54872360571737e-159,3.48486812881219e-156,4320,Rrp12,23223,RRP12
26,104184,6765.28797783106,-4.0997022753233,0.153435054413683,-26.7194631043692,2.79666006900056e-157,2.06017039621414e-154,2355,Blmh,642,BLMH
27,19212,8518.74417543605,-4.83808740496794,0.183657280005612,-26.3430200252345,6.17023326682543e-153,4.37698065775954e-150,3620,Pter,9317,PTER
28,16533,1964.96420537016,-6.11969212656852,0.233330905827546,-26.2275248315865,1.29016533743017e-151,8.82519168135713e-149,4188,Kcnmb1,3779,KCNMB1
29,17876,6982.38010123119,7.92150441613737,0.306514678292473,25.8438012178287,2.85657737985705e-147,1.88662160539317e-144,3523,Myef2,50804,MYEF2
30,94094,1307.32499004825,-5.52004928668154,0.213850940621592,-25.812602323079,6.40218847462551e-147,4.08737052848341e-144,2583,Trim34a,53840,TRIM34
31,69520,11193.256704551,-6.16340649133188,0.239550579905254,-25.7290401624976,5.53312697626357e-146,3.418580031496e-143,611,Lce3f,NA,NA
32,66756,41018.2073281955,-5.31267567843707,0.207721933593285,-25.5759013337473,2.8290020334821e-144,1.69324612335258e-141,4523,Cfap97,57587,CFAP97
33,18951,1259.28314378077,-6.61091709128869,0.259532553442075,-25.4724002966517,3.98747290668171e-143,2.3143051085356e-140,2127,Septin5,5413,SEPTIN5
34,12671,6174.49902818207,-4.73300275489617,0.186286115044702,-25.407168718723,2.10140498197922e-142,1.183770871172e-139,3168,Chrm3,1131,CHRM3
35,217038,1282.31669647571,-6.44887598782247,0.25405206659111,-25.3840721484929,3.78128751052286e-142,2.06922856254412e-139,2477,Mrm1,79922,MRM1
36,18950,10349.5717958746,-5.51945861905922,0.217945468899364,-25.3249523696582,1.69682211194512e-141,9.02756497502356e-139,2941,Pnp,4860,PNP
37,620760,2321.78712916728,-6.6510641952204,0.264432653397931,-25.1522045774413,1.33685384292361e-139,6.9202058523016e-137,6551,2900079G21Rik,NA,NA
