,entrez_id,AveExpr,logFC,lfcSE,stat,P.Value,adj.P.Val,GeneLength,MGI.symbol,Human.EntrezID,HGNC.symbol
1,74843,11122.9670283597,-6.97942848421034,0.176259490158876,-39.5974621163334,0,0,1829,Mss51,118490,MSS51
2,258165,5971.76634644081,-7.2958779837724,0.193373869433662,-37.7293892144787,0,0,939,Olfr965,NA,NA
3,12123,9396.61683454009,8.24641617369514,0.227769130678802,36.2051527751763,5.05118926420867e-287,3.2235006154425e-283,5366,Hrk,8739,HRK
4,100502752,32601.9457568358,7.61159090951756,0.21412955021143,35.5466627656105,9.35607992680035e-277,4.47805375496482e-273,2789,NA,NA,NA
5,74454,4369.33186347792,6.45301110440652,0.183831593007266,35.102840588187,6.10057549331366e-270,2.3359103563898e-266,1859,4933408J17Rik,NA,NA
6,78286,3699.92888291958,-6.26181487757232,0.182174141402922,-34.3726877445401,6.45470577004212e-259,2.05958903279094e-255,12066,Nav2,89797,NAV2
7,436583,3198.43216203204,-7.05205195796195,0.210118336381373,-33.562287230193,5.95883934998456e-247,1.62974256222078e-243,198,NA,NA,NA
8,258824,17475.3074390125,6.28315768678902,0.192409449594152,32.6551408989634,6.7738456028902e-234,1.62106592584166e-230,1050,Olfr983,NA,NA
9,67238,90472.6499409323,-7.51249185546093,0.231223279470935,-32.4902054527138,1.46632048672611e-231,3.11918952426348e-228,2331,NA,NA,NA
10,210757,9155.65532905273,-7.92287471825704,0.244909677433717,-32.3501904917633,1.37879419361738e-229,2.63970148368047e-226,3981,Themis,387357,THEMIS
11,666907,66419.3390034463,6.77821536004363,0.211810964095997,32.0012487973549,1.04765899037668e-224,1.82340285188741e-221,836,NA,NA,NA
12,21823,2816.52672603899,7.40832173053281,0.231775138057489,31.9634012199154,3.51905593193055e-224,5.6143604847342e-221,1757,Th,7054,TH
13,236082,5142.19540881237,-5.210027319196,0.163495963770204,-31.8663971822497,7.80305455191091e-223,1.14914984151026e-219,2203,NA,NA,NA
14,16136,3513.51990545001,6.4024591438719,0.201200780621013,31.8212440533803,3.29100662267393e-222,4.5004515565066e-219,870,Igll1,NA,NA
15,56398,28942.586701063,7.60433014410916,0.240006696972668,31.6838248266678,2.59542766964194e-220,3.31263084901966e-217,2596,Chp1,11261,CHP1
16,15220,15876.8306782523,5.95883320778884,0.188975541642257,31.5322986033257,3.13558485022732e-218,3.75192324735013e-215,2807,Foxq1,94234,FOXQ1
17,104184,10995.5899808113,-4.65232496130982,0.147740533951281,-31.4898344881032,1.19681644927074e-217,1.34782652478167e-214,2355,Blmh,642,BLMH
18,237847,4206.61466471933,7.17972988019942,0.228813638079444,31.3780679353851,4.03050947110553e-216,4.28689465690641e-213,3308,Rtn4rl1,146760,RTN4RL1
19,270150,29531.6805280891,-6.07742041980415,0.194832173693882,-31.1931048377715,1.32143274629407e-213,1.33151736462105e-210,1086,Ccdc153,283152,CCDC153
20,100628586,7348.07191876575,-6.30851980183966,0.202378458373315,-31.1718937506813,2.56205610504011e-213,2.45252820654965e-210,60,Mir5112,NA,NA
21,75934,3669.61964458973,-6.75797338826829,0.217555349034284,-31.0632370946821,7.55976609594282e-212,6.89198675746787e-209,1488,NA,NA,NA
22,75424,3518.98096854357,-5.12424305896445,0.165097110556068,-31.0377513071268,1.66932699322997e-211,1.45269387660854e-208,3695,Zfp820,80778,ZNF34
23,638251,4464.44390669812,6.13898915810586,0.198184515573861,30.9761291911725,1.130355262182e-210,9.40897891064103e-208,897,Sult2a7,6822,SULT2A1
24,229603,4454.92672988602,-6.66853721976721,0.216555708008726,-30.7936340311034,3.18865684834505e-208,2.54361814006525e-205,8101,Otud7b,56957,OTUD7B
25,100038949,4636.0416263387,-5.85112524224633,0.190602792146028,-30.6980038244327,6.05175012765157e-207,4.63443024775557e-204,804,Gm1979,NA,NA
26,214305,3678.20355042239,-5.707334096419,0.18598298950182,-30.6873984105044,8.38296032698648e-207,6.17276059462139e-204,2605,Hhipl1,84439,HHIPL1
27,18183,64161.5733237225,-6.74938985242179,0.221557558592613,-30.4633698588102,7.96866031871952e-204,5.65037043710686e-201,4036,Nrg3,10718,NRG3
28,16678,7179.64271829289,7.64875606253199,0.252842519660166,30.2510672366829,5.05135548647677e-201,3.45386431387849e-198,2447,Krt1,3848,KRT1
29,723962,13541.3207182952,-7.08276610260438,0.235875485085196,-30.0275634835309,4.28684454515781e-198,2.83005651093263e-195,84,Mir26a-2,407016,MIR26A2
30,208258,5537.8287612642,5.79191317333158,0.193214037655073,29.9766685879799,1.97706421132618e-197,1.26169647752799e-194,1448,Ankrd33,341405,ANKRD33
31,258180,31363.5619067179,-5.68048913089435,0.189993599625281,-29.8983183754496,2.06937830633856e-196,1.27800798951135e-193,951,Olfr699,144125,OR2AG1
32,245532,10107.5265316992,-4.54052995280428,0.152007572807001,-29.8704194071254,4.76798018091106e-196,2.85259314261069e-193,1594,Awat2,158835,AWAT2
