Cell_Type	Gene
Fibroblast	MMP2
Fibroblast	APOD
Fibroblast	CLMP
Fibroblast	PDGFRA
Fibroblast	MMP3
Fibroblast	TWIST2
Fibroblast	DPT
Fibroblast	IGFBP6
Fibroblast	DCN
Fibroblast	LUM
Myeloid	CD74
Myeloid	HLADRA
Myeloid	FCERIG
Myeloid	CREG1
Myeloid	ACSL1
Myeloid	TLR2
Myeloid	NPC2
Myeloid	CIQB
Myeloid	C5AR1
Lymphoid	FKBP5
Lymphoid	CD37
Lymphoid	CXCR4
Lymphoid	RUNX3
Lymphoid	NKG7
Lymphoid	PDCD4
Lymphoid	FYN
Lymphoid	KLRD1
Endothelial	TFF3
Endothelial	CYLD
Endothelial	MMRN1
Endothelial	CLIC2
Endothelial	TFP
Endothelial	SOX4
Endothelial	GJA1
Endothelial	PTPRB
Endothelial	CDH5
Endothelial	ERG
Endothelial	TSPAN12
Endothelial	HEY1
Endothelial	PRRG4
Endothelial	COL5A1
Endothelial	SNAI1
Endothelial	SPARC
Endothelial	ENG
Endothelial	FLT1
Endothelial	CD93
Endothelial	PLVAP
Endothelial	SOX17
Pericytes	IL6
Pericytes	AGTR1
Pericytes	SOD3
Pericytes	AXL
Pericytes	ADAMTS1
Pericytes	MYL9
Pericytes	MCAM
Pericytes	PLN
Pericytes	NTRK2
