TAM-genes 	Correlation value with CD163	p value
IRF8	0.641	4.61E-157
CCL2	0.720	2.65E-216
C1QC	0.796	1.25E-295
GBP5	0.586	2.53E-125
HCST	0.685	9.97E-188
LILRB4	0.702	3.72E-201
AIF1	0.798	1.80E-298
PSMB9	0.613	4.60E-140
GBP4	0.518	2.15E-93
GBP1	0.646	1.44E-160
HLA-DOA	0.547	5.30E-106
C1QA	0.775	3.99E-271
CCL4	0.733	1.07E-227
NCF1C	0.547	5.41E-106
LAP3	0.654	2.57E-165
TNFAIP3	0.544	5.59E-105
ITGB2	0.739	2.64E-233
LAIR1	0.735	6.45E-230
FOLR2	0.715	4.26E-212
CD83	0.610	1.27E-138
SIGLEC1	0.619	1.64E-143
TCN2	0.622	2.82E-145
PLTP	0.655	4.81E-166
C1QB	0.840	0.00E+00
DOK2	0.543	2.37E-104
GIMAP6	0.600	8.89E-133
CD40	0.532	1.74E-99
CCL3	0.597	3.89E-131
CCL8	0.685	8.78E-188
FCN1	0.622	2.31E-145
CD4	0.582	3.73E-123
VAV1	0.513	2.40E-91
TLR7	0.625	3.59E-147
FGD2	0.543	2.42E-104
LST1	0.623	3.58E-146
VSIG4	0.772	7.15E-268
CLEC7A	0.620	2.36E-144
