# Supplementary Table 10. Differentially expressed genes of subsets within major cell lineages
# Differentially expressed genes for each cluster analyzed within each major cell lineage (Cancer epithelial, Normal Epithelial, T-cells, B-cells, Myeloid, CAFs, PVL and Endothelial). Subset level clusters were compared against all other clusters within their major lineage using the MAST method (FindAllMarkers) with a log-scale fold change threshold of 0.25, detected in at least 0.1 of cells in either clusters and genes with a fraction difference of 0.1. Genes were filtered by an adjusted p-value threshold of 0.05. Statistical significance for differential gene expression in MAST69 was determined using the wilcox test, with all p-values adjusted using bonferroni correction.
p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	major lineage
0	1.705000229	0.725	0.32	0	Cancer Cycling	HIST1H4C	Cancer Epithelial
0	1.390944629	0.588	0.04	0	Cancer Cycling	UBE2C	Cancer Epithelial
0	1.307818886	0.888	0.436	0	Cancer Cycling	STMN1	Cancer Epithelial
0	1.196760009	0.572	0.054	0	Cancer Cycling	CENPF	Cancer Epithelial
0	1.17518113	0.907	0.67	0	Cancer Cycling	TUBA1B	Cancer Epithelial
0	1.153853031	0.49	0.218	0	Cancer Cycling	FABP5	Cancer Epithelial
0	1.093615877	0.587	0.066	0	Cancer Cycling	PTTG1	Cancer Epithelial
0	1.043335028	0.939	0.809	0	Cancer Cycling	H2AFZ	Cancer Epithelial
0	1.034137831	0.664	0.16	0	Cancer Cycling	TK1	Cancer Epithelial
0	1.026059655	0.667	0.279	0	Cancer Cycling	HMGB2	Cancer Epithelial
0	1.016471694	0.571	0.036	0	Cancer Cycling	BIRC5	Cancer Epithelial
2.60E-226	0.997283467	0.461	0.282	7.75E-222	Cancer Cycling	VIM	Cancer Epithelial
1.54E-219	0.983436898	0.257	0.086	4.57E-215	Cancer Cycling	S100A2	Cancer Epithelial
0	0.970683341	0.602	0.049	0	Cancer Cycling	TYMS	Cancer Epithelial
0	0.963848742	0.447	0.01	0	Cancer Cycling	RRM2	Cancer Epithelial
7.68E-163	0.960138257	0.332	0.16	2.28E-158	Cancer Cycling	S100A8	Cancer Epithelial
0	0.911379861	0.927	0.746	0	Cancer Cycling	TUBB	Cancer Epithelial
0	0.898671423	0.49	0.012	0	Cancer Cycling	MKI67	Cancer Epithelial
0	0.885286733	0.493	0.025	0	Cancer Cycling	NUSAP1	Cancer Epithelial
3.55E-104	0.873256537	0.42	0.272	1.05E-99	Cancer Cycling	S100A9	Cancer Epithelial
2.54E-115	0.858872109	0.188	0.076	7.56E-111	Cancer Cycling	KRT17	Cancer Epithelial
0	0.857236929	0.478	0.027	0	Cancer Cycling	CDC20	Cancer Epithelial
0	0.851893111	0.918	0.813	0	Cancer Cycling	HMGN2	Cancer Epithelial
2.39E-293	0.849000672	0.467	0.216	7.11E-289	Cancer Cycling	AIM1	Cancer Epithelial
0	0.844146491	0.799	0.465	0	Cancer Cycling	DEK	Cancer Epithelial
0	0.841690276	0.788	0.461	0	Cancer Cycling	CKS1B	Cancer Epithelial
0	0.82701154	0.412	0.062	0	Cancer Cycling	KIAA0101	Cancer Epithelial
0	0.82039851	0.633	0.126	0	Cancer Cycling	UBE2T	Cancer Epithelial
0	0.818973934	0.941	0.73	0	Cancer Cycling	YBX1	Cancer Epithelial
0	0.814290725	0.644	0.205	0	Cancer Cycling	SMC4	Cancer Epithelial
0	0.813301978	0.455	0.027	0	Cancer Cycling	CDK1	Cancer Epithelial
0	0.80643829	0.614	0.118	0	Cancer Cycling	CENPW	Cancer Epithelial
1.34E-139	0.778174753	0.147	0.045	3.98E-135	Cancer Cycling	C6orf15	Cancer Epithelial
0	0.752745023	0.787	0.55	0	Cancer Cycling	HMGA1	Cancer Epithelial
0	0.736135115	0.713	0.44	0	Cancer Cycling	CKS2	Cancer Epithelial
0	0.734400553	0.833	0.599	0	Cancer Cycling	RANBP1	Cancer Epithelial
0	0.718405642	0.493	0.22	0	Cancer Cycling	LDHB	Cancer Epithelial
0	0.713867825	0.835	0.628	0	Cancer Cycling	H2AFV	Cancer Epithelial
0	0.704602577	0.481	0.027	0	Cancer Cycling	TPX2	Cancer Epithelial
0	0.701593667	0.555	0.069	0	Cancer Cycling	ZWINT	Cancer Epithelial
0	0.699144571	0.651	0.235	0	Cancer Cycling	HMGB3	Cancer Epithelial
1.62E-246	0.696539047	0.314	0.124	4.81E-242	Cancer Cycling	CAV1	Cancer Epithelial
4.57E-154	0.689392599	0.407	0.252	1.36E-149	Cancer Cycling	S100A4	Cancer Epithelial
0	0.679104024	0.563	0.243	0	Cancer Cycling	KPNA2	Cancer Epithelial
7.50E-130	0.678784926	0.32	0.172	2.23E-125	Cancer Cycling	RARRES1	Cancer Epithelial
0	0.677022818	0.424	0.083	0	Cancer Cycling	CCNB1	Cancer Epithelial
0	0.673300827	0.49	0.037	0	Cancer Cycling	PRC1	Cancer Epithelial
0	0.660594865	0.864	0.668	0	Cancer Cycling	HN1	Cancer Epithelial
0	0.658547018	0.685	0.32	0	Cancer Cycling	DTYMK	Cancer Epithelial
0	0.656588977	0.425	0.025	0	Cancer Cycling	CCNB2	Cancer Epithelial
7.07E-252	0.642130999	0.504	0.306	2.10E-247	Cancer Cycling	CKB	Cancer Epithelial
0	0.639994419	0.8	0.676	0	Cancer Cycling	SIVA1	Cancer Epithelial
0	0.638340023	0.45	0.033	0	Cancer Cycling	CDKN3	Cancer Epithelial
0	0.632326813	0.893	0.666	0	Cancer Cycling	ENO1	Cancer Epithelial
8.55570020443766e-317	0.629237376	0.647	0.375	2.54386634178545e-312	Cancer Cycling	ATG5	Cancer Epithelial
4.42E-282	0.628956425	0.312	0.103	1.31E-277	Cancer Cycling	HIST1H1E	Cancer Epithelial
0	0.615107955	0.691	0.449	0	Cancer Cycling	TUBA1C	Cancer Epithelial
1.31E-223	0.602657653	0.355	0.163	3.90E-219	Cancer Cycling	CTSC	Cancer Epithelial
1.05E-269	0.601594334	0.43	0.212	3.12E-265	Cancer Cycling	COTL1	Cancer Epithelial
0	0.598059309	0.608	0.33	0	Cancer Cycling	PCNA	Cancer Epithelial
0	0.598023257	0.581	0.213	0	Cancer Cycling	MCM7	Cancer Epithelial
0	0.594887217	0.572	0.207	0	Cancer Cycling	ANP32E	Cancer Epithelial
0	0.592920428	0.802	0.636	0	Cancer Cycling	DUT	Cancer Epithelial
0	0.592896917	0.906	0.745	0	Cancer Cycling	PKM	Cancer Epithelial
0	0.59223808	0.875	0.731	0	Cancer Cycling	SNRPG	Cancer Epithelial
0	0.591898037	0.912	0.775	0	Cancer Cycling	RAN	Cancer Epithelial
0	0.588139711	0.336	0.011	0	Cancer Cycling	PLK1	Cancer Epithelial
5.95E-263	0.581279683	0.5	0.355	1.77E-258	Cancer Cycling	CYBA	Cancer Epithelial
2.23E-220	0.580425349	0.771	0.582	6.62E-216	Cancer Cycling	MT2A	Cancer Epithelial
0	0.57188144	0.54	0.286	0	Cancer Cycling	UBE2S	Cancer Epithelial
0	0.570354958	0.877	0.745	0	Cancer Cycling	NCL	Cancer Epithelial
2.83E-269	0.56508334	0.808	0.637	8.40E-265	Cancer Cycling	IDH2	Cancer Epithelial
0	0.563310588	0.674	0.362	0	Cancer Cycling	NASP	Cancer Epithelial
3.82E-190	0.563290786	0.195	0.057	1.13E-185	Cancer Cycling	LY6D	Cancer Epithelial
0	0.561042747	0.354	0.021	0	Cancer Cycling	TOP2A	Cancer Epithelial
0	0.553957433	0.869	0.695	0	Cancer Cycling	SERBP1	Cancer Epithelial
0	0.551844884	0.938	0.83	0	Cancer Cycling	TPI1	Cancer Epithelial
0	0.550357483	0.578	0.225	0	Cancer Cycling	RNASEH2A	Cancer Epithelial
0	0.542139665	0.6	0.284	0	Cancer Cycling	NUDT1	Cancer Epithelial
0	0.529300504	0.547	0.175	0	Cancer Cycling	TMPO	Cancer Epithelial
0	0.527891782	0.921	0.797	0	Cancer Cycling	ANXA2	Cancer Epithelial
0	0.520293879	0.623	0.321	0	Cancer Cycling	DNMT1	Cancer Epithelial
5.39E-186	0.518621953	0.591	0.488	1.60E-181	Cancer Cycling	ARPC1B	Cancer Epithelial
0	0.518180829	0.826	0.628	0	Cancer Cycling	SNRPD1	Cancer Epithelial
0	0.515263103	0.297	0.08	0	Cancer Cycling	TMSB15A	Cancer Epithelial
0	0.511517201	0.59	0.225	0	Cancer Cycling	DNAJC9	Cancer Epithelial
0	0.506304731	0.845	0.7	0	Cancer Cycling	LSM4	Cancer Epithelial
0	0.50318616	0.419	0.026	0	Cancer Cycling	PKMYT1	Cancer Epithelial
0	0.502954002	0.416	0.025	0	Cancer Cycling	ASF1B	Cancer Epithelial
0	0.50100817	0.767	0.519	0	Cancer Cycling	CCT5	Cancer Epithelial
0	0.499479648	0.703	0.414	0	Cancer Cycling	TOMM40	Cancer Epithelial
1.11E-290	0.493254135	0.526	0.266	3.30E-286	Cancer Cycling	SFN	Cancer Epithelial
2.05E-282	0.493113405	0.784	0.608	6.10E-278	Cancer Cycling	PGAM1	Cancer Epithelial
0	0.484973359	0.684	0.443	0	Cancer Cycling	CARHSP1	Cancer Epithelial
0	0.483950589	0.857	0.715	0	Cancer Cycling	HNRNPA3	Cancer Epithelial
2.67E-248	0.483008476	0.757	0.59	7.93E-244	Cancer Cycling	TUBB4B	Cancer Epithelial
0	0.480565136	0.456	0.126	0	Cancer Cycling	ATAD2	Cancer Epithelial
1.97E-197	0.48010552	0.475	0.287	5.86E-193	Cancer Cycling	PSMB9	Cancer Epithelial
0	0.479455641	0.916	0.81	0	Cancer Cycling	SLC25A5	Cancer Epithelial
0	0.47838371	0.36	0.01	0	Cancer Cycling	NUF2	Cancer Epithelial
2.39E-214	0.475300039	0.467	0.25	7.10E-210	Cancer Cycling	C6orf203	Cancer Epithelial
1.44E-191	0.473736513	0.268	0.1	4.27E-187	Cancer Cycling	FABP7	Cancer Epithelial
0	0.473312956	0.426	0.065	0	Cancer Cycling	MAD2L1	Cancer Epithelial
0	0.473081557	0.855	0.699	0	Cancer Cycling	ARPC2	Cancer Epithelial
2.28E-248	0.468715522	0.692	0.513	6.77E-244	Cancer Cycling	RAD21	Cancer Epithelial
0	0.466082003	0.333	0.01	0	Cancer Cycling	ASPM	Cancer Epithelial
0	0.463020061	0.871	0.748	0	Cancer Cycling	AP2S1	Cancer Epithelial
0	0.462769001	0.63	0.365	0	Cancer Cycling	USP1	Cancer Epithelial
0	0.456100752	0.778	0.588	0	Cancer Cycling	ANP32B	Cancer Epithelial
3.28E-274	0.453915154	0.358	0.137	9.75E-270	Cancer Cycling	FSCN1	Cancer Epithelial
0	0.453207032	0.833	0.664	0	Cancer Cycling	SNRPB	Cancer Epithelial
0	0.452683767	0.438	0.036	0	Cancer Cycling	ORC6	Cancer Epithelial
0	0.452556461	0.801	0.61	0	Cancer Cycling	AP2M1	Cancer Epithelial
0	0.452071337	0.842	0.677	0	Cancer Cycling	CCT6A	Cancer Epithelial
0	0.452005744	0.331	0.009	0	Cancer Cycling	CENPA	Cancer Epithelial
1.47E-116	0.450615566	0.518	0.353	4.38E-112	Cancer Cycling	MT1X	Cancer Epithelial
0	0.450494961	0.43	0.159	0	Cancer Cycling	GGH	Cancer Epithelial
9.00E-215	0.44831377	0.406	0.192	2.68E-210	Cancer Cycling	ANXA1	Cancer Epithelial
0	0.448118188	0.531	0.211	0	Cancer Cycling	PHGDH	Cancer Epithelial
0	0.44293233	0.508	0.147	0	Cancer Cycling	GMNN	Cancer Epithelial
0	0.440188378	0.524	0.218	0	Cancer Cycling	PSIP1	Cancer Epithelial
0	0.439631663	0.331	0.01	0	Cancer Cycling	CDCA3	Cancer Epithelial
1.94790815595016e-318	0.438881727	0.705	0.501	5.7917153200866e-314	Cancer Cycling	HNRNPAB	Cancer Epithelial
0	0.437928311	0.542	0.277	0	Cancer Cycling	H2AFX	Cancer Epithelial
0	0.437084458	0.475	0.171	0	Cancer Cycling	IMPA2	Cancer Epithelial
0	0.436649524	0.361	0.02	0	Cancer Cycling	CDCA8	Cancer Epithelial
0	0.436206704	0.759	0.557	0	Cancer Cycling	PPM1G	Cancer Epithelial
0.00E+00	0.436045552	0.751	0.541	8.96E-305	Cancer Cycling	CALM3	Cancer Epithelial
0	0.435896921	0.405	0.056	0	Cancer Cycling	CENPU	Cancer Epithelial
0	0.435521491	0.78	0.572	0	Cancer Cycling	PSMB2	Cancer Epithelial
0	0.435081471	0.428	0.093	0	Cancer Cycling	CKAP2	Cancer Epithelial
2.29E-301	0.433151911	0.608	0.391	6.80E-297	Cancer Cycling	WDR34	Cancer Epithelial
0	0.422031945	0.547	0.259	0	Cancer Cycling	SAC3D1	Cancer Epithelial
1.22E-242	0.419837714	0.739	0.598	3.64E-238	Cancer Cycling	PLP2	Cancer Epithelial
1.24E-113	0.417626375	0.773	0.627	3.68E-109	Cancer Cycling	HLA-A	Cancer Epithelial
5.63E-184	0.417528353	0.525	0.309	1.67E-179	Cancer Cycling	NSMCE4A	Cancer Epithelial
9.57E-281	0.417137312	0.764	0.544	2.84E-276	Cancer Cycling	EIF4EBP1	Cancer Epithelial
0	0.414574003	0.441	0.074	0	Cancer Cycling	CENPN	Cancer Epithelial
2.83E-121	0.412545137	0.153	0.052	8.40E-117	Cancer Cycling	KLK6	Cancer Epithelial
4.15E-262	0.411087038	0.833	0.695	1.23E-257	Cancer Cycling	PDIA6	Cancer Epithelial
0	0.410397564	0.391	0.037	0	Cancer Cycling	RAD51AP1	Cancer Epithelial
0	0.410393616	0.574	0.322	0	Cancer Cycling	MZT1	Cancer Epithelial
0	0.408452483	0.495	0.176	0	Cancer Cycling	TEX30	Cancer Epithelial
5.63234836259021e-322	0.406624034	0.838	0.698	1.67466613864895e-317	Cancer Cycling	C19orf43	Cancer Epithelial
1.85E-300	0.404186716	0.634	0.393	5.51E-296	Cancer Cycling	ATP1B3	Cancer Epithelial
2.15E-184	0.399077242	0.802	0.677	6.40E-180	Cancer Cycling	GSTP1	Cancer Epithelial
9.41E-211	0.398913505	0.776	0.604	2.80E-206	Cancer Cycling	ILF2	Cancer Epithelial
2.94E-201	0.398537046	0.333	0.144	8.75E-197	Cancer Cycling	TPM2	Cancer Epithelial
2.88547859748015e-316	0.397412688	0.56	0.327	8.57939351388772e-312	Cancer Cycling	DDX39A	Cancer Epithelial
0	0.396369406	0.418	0.072	0	Cancer Cycling	CENPM	Cancer Epithelial
7.85816663964409e-311	0.395820137	0.682	0.427	2.34E-306	Cancer Cycling	PSMC3	Cancer Epithelial
